,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,A,A,0,d,"(2, 5, 9)",i,A,A,d,0.0,0.0
1,A,A,1,d,"(2, 5, 9)",i,A,A,d,0.125,0.0
2,A,A,2,d,"(2, 5, 9)",i,A,A,d,0.25,0.0
3,A,A,2,d,"(2, 5, 9)",i,A,A,d,0.375,0.0
4,A,A,3,d,"(2, 5, 9)",i,A,A,d,0.5,0.0
5,A,A,3,d,"(2, 5, 9)",i,A,A,d,0.625,0.0
6,F,A,0,d,"(2, 5, 9)",i,D,F,d,0.75,1.0
7,F,A,1,d,"(2, 5, 9)",i,D,F,d,0.875,1.0
8,F,A,2,d,"(2, 5, 9)",i,D,F,d,1.0,1.0
9,F,A,2,d,"(2, 5, 9)",i,D,F,d,1.125,1.0
10,F,A,3,d,"(2, 5, 9)",i,D,F,d,1.25,1.0
11,F,A,3,d,"(2, 5, 9)",i,D,F,d,1.375,1.0
12,F,A,3,d,"(2, 5, 9)",i,D,F,d,1.5,1.0
13,F,A,3,d,"(2, 5, 9)",i,D,F,d,1.625,1.0
14,F,A,4,d,"(2, 5, 9)",i,D,D,d,1.75,1.0
15,F,A,1,d,"(2, 5, 9)",i,D,D,d,1.875,1.0
16,F,A,2,d,"(2, 5, 9)",i,D,D,d,2.0,1.0
17,F,A,2,d,"(2, 5, 9)",i,D,D,d,2.125,1.0
18,E,A,0,d,"(1, 4, 7, 9)",V7,G,C#,d,2.25,2.0
19,E,A,1,d,"(1, 4, 7, 9)",V7,G,C#,d,2.375,2.0
20,E,A,2,d,"(1, 4, 7, 9)",V7,G,C#,d,2.5,2.0
21,E,A,2,d,"(1, 4, 7, 9)",V7,G,C#,d,2.625,2.0
22,E,A,3,d,"(1, 4, 7, 9)",V7,G,C#,d,2.75,2.0
23,E,A,3,d,"(1, 4, 7, 9)",V7,G,C#,d,2.875,2.0
24,E,A,3,d,"(1, 4, 7, 9)",V7,G,C#,d,3.0,2.0
25,E,A,3,d,"(1, 4, 7, 9)",V7,G,C#,d,3.125,2.0
26,E,A,4,d,"(1, 4, 7, 9)",V7,G,C#,d,3.25,2.0
27,E,A,4,d,"(1, 4, 7, 9)",V7,G,C#,d,3.375,2.0
28,E,A,4,d,"(1, 4, 7, 9)",V7,G,C#,d,3.5,2.0
29,E,A,4,d,"(1, 4, 7, 9)",V7,G,C#,d,3.625,2.0
30,A,D,0,d,"(2, 5, 9)",i,D,F,d,3.75,3.0
31,A,D,1,d,"(2, 5, 9)",i,D,F,d,3.875,3.0
32,A,D,2,d,"(2, 5, 9)",i,D,F,d,4.0,3.0
33,A,D,2,d,"(2, 5, 9)",i,D,F,d,4.125,3.0
34,A,D,3,d,"(2, 5, 9)",i,D,F,d,4.25,3.0
35,A,D,3,d,"(2, 5, 9)",i,D,F,d,4.375,3.0
36,A,D,3,d,"(2, 5, 9)",i,D,F,d,4.5,3.0
37,A,D,3,d,"(2, 5, 9)",i,D,F,d,4.625,3.0
38,D,A,4,d,"(2, 5, 9)",i,D,D,d,4.75,3.0
39,D,A,4,d,"(2, 5, 9)",i,D,D,d,4.875,3.0
40,D,A,4,d,"(2, 5, 9)",i,D,D,d,5.0,3.0
41,D,A,4,d,"(2, 5, 9)",i,D,D,d,5.125,3.0
42,D,G,0,d,"(2, 7, 10)",i,G,B-,d,5.25,4.0
43,D,G,1,d,"(2, 7, 10)",i,G,B-,d,5.375,4.0
44,D,G,2,d,"(2, 7, 10)",i,G,B-,d,5.5,4.0
45,D,G,2,d,"(2, 7, 10)",i,G,B-,d,5.625,4.0
46,D,G,3,d,"(2, 7, 10)",i,G,B-,d,5.75,4.0
47,D,G,3,d,"(2, 7, 10)",i,G,B-,d,5.875,4.0
48,D,G,3,d,"(2, 7, 10)",i,G,B-,d,6.0,4.0
