,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,B-,E-,0,e-,"(3, 6, 10)",i,E-,G-,e-,0.0,1.0
1,B-,E-,1,e-,"(3, 6, 10)",i,E-,G-,e-,0.125,1.0
2,B-,E-,2,e-,"(3, 6, 10)",i,E-,G-,e-,0.25,1.0
3,B-,E-,2,e-,"(3, 6, 10)",i,E-,G-,e-,0.375,1.0
4,B-,E-,3,e-,"(3, 6, 10)",i,E-,G-,e-,0.5,1.0
5,B-,E-,3,e-,"(3, 6, 10)",i,E-,G-,e-,0.625,1.0
6,B-,E-,3,e-,"(3, 6, 10)",i,E-,G-,e-,0.75,1.0
7,B-,E-,3,e-,"(3, 6, 10)",i,E-,G-,e-,0.875,1.0
8,B-,E-,4,e-,"(3, 6, 10)",i,E-,G-,e-,1.0,1.0
9,B-,E-,4,e-,"(3, 6, 10)",i,E-,G-,e-,1.125,1.0
10,B-,E-,4,e-,"(3, 6, 10)",i,E-,G-,e-,1.25,1.0
11,B-,E-,4,e-,"(3, 6, 10)",i,E-,G-,e-,1.375,1.0
12,B-,E-,4,e-,"(3, 6, 10)",i,E-,G-,e-,1.5,1.0
13,B-,E-,4,e-,"(3, 6, 10)",i,E-,G-,e-,1.625,1.0
14,B-,E-,4,e-,"(3, 6, 10)",i,E-,G-,e-,1.75,1.0
15,B-,E-,4,e-,"(3, 6, 10)",i,E-,G-,e-,1.875,1.0
16,B-,E-,5,e-,"(3, 6, 10)",I,E-,G-,G-,2.0,1.0
17,B-,E-,5,e-,"(3, 6, 10)",i,E-,G-,G-,2.125,1.0
18,B-,E-,5,e-,"(3, 6, 10)",i,E-,G-,G-,2.25,1.0
19,B-,E-,5,e-,"(3, 6, 10)",i,E-,G-,G-,2.375,1.0
20,B-,E-,5,e-,"(3, 6, 10)",i,E-,G-,G-,2.5,1.0
21,B-,E-,5,e-,"(3, 6, 10)",i,E-,G-,G-,2.625,1.0
22,B-,E-,5,e-,"(3, 6, 10)",i,E-,G-,G-,2.75,1.0
23,B-,E-,5,e-,"(3, 6, 10)",i,E-,G-,G-,2.875,1.0
24,E-,A-,0,e-,"(3, 8, 11)",iv,A-,C-,e-,3.0,2.0
25,E-,A-,1,e-,"(3, 8, 11)",iv,A-,C-,e-,3.125,2.0
26,E-,A-,2,e-,"(3, 8, 11)",iv,A-,C-,e-,3.25,2.0
27,E-,A-,2,e-,"(3, 8, 11)",iv,A-,C-,e-,3.375,2.0
28,E-,A-,3,e-,"(3, 8, 11)",iv,A-,C-,e-,3.5,2.0
29,E-,A-,3,e-,"(3, 8, 11)",iv,A-,C-,e-,3.625,2.0
30,E-,A-,3,e-,"(3, 8, 11)",iv,A-,C-,e-,3.75,2.0
31,E-,A-,3,e-,"(3, 8, 11)",iv,A-,C-,e-,3.875,2.0
32,E-,A-,4,e-,"(3, 8, 11)",iv,A-,C-,e-,4.0,2.0
33,E-,A-,4,e-,"(3, 8, 11)",iv,A-,C-,e-,4.125,2.0
34,E-,A-,4,e-,"(3, 8, 11)",iv,A-,C-,e-,4.25,2.0
35,E-,A-,4,e-,"(3, 8, 11)",iv,A-,C-,e-,4.375,2.0
36,E-,A-,4,e-,"(3, 8, 11)",iv,A-,C-,e-,4.5,2.0
37,E-,A-,4,e-,"(3, 8, 11)",iv,A-,C-,e-,4.625,2.0
38,E-,A-,4,e-,"(3, 8, 11)",iv,A-,C-,e-,4.75,2.0
39,E-,A-,4,e-,"(3, 8, 11)",iv,A-,C-,e-,4.875,2.0
40,E-,A-,5,e-,"(3, 8, 11)",iv,A-,C-,e-,5.0,2.0
41,E-,A-,5,e-,"(3, 8, 11)",iv,A-,C-,e-,5.125,2.0
42,E-,A-,5,e-,"(3, 8, 11)",iv,A-,C-,e-,5.25,2.0
43,E-,A-,5,e-,"(3, 8, 11)",iv,A-,C-,e-,5.375,2.0
44,E-,A-,5,e-,"(3, 8, 11)",iv,A-,C-,e-,5.5,2.0
45,E-,A-,5,e-,"(3, 8, 11)",iv,A-,C-,e-,5.625,2.0
46,E-,A-,5,e-,"(3, 8, 11)",iv,A-,C-,e-,5.75,2.0
47,E-,A-,5,e-,"(3, 8, 11)",iv,A-,C-,G-,5.875,2.0
48,A-,D-,0,G-,"(1, 5, 8, 11)",V7,D-,F,G-,6.0,3.0
49,A-,D-,1,G-,"(1, 5, 8, 11)",V7,D-,F,G-,6.125,3.0
50,A-,D-,2,G-,"(1, 5, 8, 11)",V7,D-,F,G-,6.25,3.0
51,A-,D-,2,G-,"(1, 5, 8, 11)",V7,D-,F,G-,6.375,3.0
